ID,Name,Marks
2501553,Kamran Farooq,900
2508792,Christopher Lynn,738
2508809,Cynthia Long,1071
2509277,Timothy Pruitt,1011
2503133,Yolanda Ward,631
2504731,Donald White,627
2505992,Mr. Michael Fox Jr.,956
2501607,Sara Carlson,872
2501212,Laura Smith,848
2502787,Jeffery Perez Jr.,1018
2502692,Jesse Barnes,1000
2506474,Mark King,848
2503842,Andre Johnson,631
2505605,Jessica Klein,758
2508526,Mr. Marc Poole,817
2505517,Rebecca Williams,585
2508512,Jean White,497
2509529,David Richard,657
2509026,Melissa Long,842
2505974,Jonathan Harris,602
2506477,Amber Olson,477
2501261,Patricia Rodriguez,599
2507990,Christian Livingston,717
2509237,Elizabeth Black,692
2501776,Travis Russell III,987
2507676,Priscilla Boyd,925
2509476,Jessica Jordan,520
2508001,Kristin Jones,772
2508520,Denise Lopez,827
2507258,Heather Johnson,517
2506826,Justin Smith,788
2507244,Gregory Larsen,847
2501396,Brittany Rodriguez,724
2504317,Erin Wyatt,819
2504241,Angel Blevins,718
2502446,Angelica Garcia,868
2509038,Michael Williams,901
2502870,Eric Mccoy,467
2505078,Mary Villa,666
2507433,Jack Cisneros,467
2506631,Heather Mcdonald,610
2506389,Kevin Allen,748
2508341,James Griffin,900
2502144,Angela Montgomery,717
2507119,Cory Mcgrath,733
2503587,Alexis Clark,767
2507994,Gail Davidson,588
2501791,Sherri Underwood,715
2507880,Christopher Hahn,883
2507520,Jimmy Carroll,1041
2507981,Austin White,477
2509308,Brandon Berg,585
2504938,Wayne Campos,1024
2508000,Dillon Chang,1007
2502387,Clifford Beltran,722
2507808,Kimberly Cruz,975
2508828,Richard Roberts,472
2501646,Darren Fernandez,1078
2506314,Eric Bridges,960
2505575,Phyllis Ritter,796
2507686,Anthony Page DVM,478
2504994,Philip Hill,660
2507266,Alvin Taylor,823
2506075,Tammy Wright,916
2508102,Anna Page,649
2505065,Karen Thompson,813
2505008,Lisa Ward,945
2503042,Nicholas Banks,627
2507572,Stephanie Miller,858
2504852,Erica Miller,559
2508444,Amber Walker,661
2503991,Brittany Perez,1005
2506799,Benjamin Jenkins,597
2505051,Lisa Newton,962
2509403,Christopher Whitaker DDS,821
2506354,Justin Newman,694
2506910,Robert Mitchell,971
2509792,Devin Martinez,938
2505082,Adrian Ayala,612
2502528,Charles Skinner,1064
2501986,Antonio Parsons,875
2502972,David Duncan,739
2501725,Danielle Bradley,561
2501294,Alyssa Stephens,458
2506896,Roberto Hunter,700
2507165,Richard Bentley,957
2507630,Paula Stevens,842
2501364,Catherine Johns,1042
2506722,Andrea Swanson,558
2507023,Carla King,813
2506288,Daniel Clayton,1065
2509641,Dana Hunter,679
2507130,Barbara Freeman,519
2501687,Andrea Stone,1031
2505555,Alexander Combs,570
2508210,Ariel Kaufman,1078
2504281,John Turner,464
2503986,Elijah White,832
2508676,Ashley Johnston,934
2501339,Michaela Tate,866
2502284,Christopher Kennedy,698
2508972,Christopher Johnson,479
2507387,Emily Chang,789
2508946,Diamond Paul,1060
2502975,Andrea Armstrong,814
2501767,Bailey Ho,587
2507172,Charles Barnes,860
2505950,Michael Holt,680
2508558,Chad Kelly,515
2503253,Whitney Huff,847
2506982,Larry Cain,650
2507047,Ronald Holt,878
2504383,Charles Contreras,955
2505044,Allison Bryant,968
2501278,Erin Hernandez,1014
2506579,Jessica Rogers,1082
2501303,Sean Galloway,877
2509831,Patricia Morris,585
2504004,Melissa Huff,884
